date,monthly_return,fund
2008-02-01,0.0292250670528289,hong_kong
2008-03-01,-0.048971346175158526,hong_kong
2008-04-01,0.1189963145068107,hong_kong
2008-05-01,-0.040603441396766415,hong_kong
2008-06-01,-0.09431692488218668,hong_kong
2008-07-01,0.02803759188266497,hong_kong
2008-08-01,-0.06147195361637492,hong_kong
2008-09-01,-0.1452953105946312,hong_kong
2008-10-01,-0.24284926615506786,hong_kong
2008-11-01,0.0007126610828320779,hong_kong
2008-12-01,0.03632480123672566,hong_kong
2009-01-01,-0.07903773196410646,hong_kong
2009-02-01,-0.03134332624428715,hong_kong
2009-03-01,0.06317395770415546,hong_kong
2009-04-01,0.1289856767209574,hong_kong
2009-05-01,0.18356878543382749,hong_kong
2009-06-01,0.017353544422542555,hong_kong
2009-07-01,0.11407235420012607,hong_kong
2009-08-01,-0.03827726385790098,hong_kong
2009-09-01,0.0646765687780666,hong_kong
2009-10-01,0.021027801223861387,hong_kong
2009-11-01,0.006865275416154226,hong_kong
2009-12-01,0.002272551669222578,hong_kong
2010-01-01,-0.08163262145837169,hong_kong
2010-02-01,0.027160378518349848,hong_kong
2010-03-01,0.031250091447893036,hong_kong
2010-04-01,-0.009324051754131424,hong_kong
2010-05-01,-0.05411745900537579,hong_kong
2010-06-01,0.022387881115575547,hong_kong
2010-07-01,0.041362665230683326,hong_kong
2010-08-01,-0.02336469377557293,hong_kong
2010-09-01,0.09808631438826487,hong_kong
2010-10-01,0.008714571300379337,hong_kong
2010-11-01,0.002159917104740172,hong_kong
2010-12-01,0.0,hong_kong
2011-01-01,0.019396461392809483,hong_kong
2011-02-01,-0.0042284430132231154,hong_kong
2011-03-01,0.008492608217731012,hong_kong
2011-04-01,0.002104975881695781,hong_kong
2011-05-01,0.010504705023234528,hong_kong
2011-06-01,-0.04989639126539691,hong_kong
2011-07-01,0.0,hong_kong
2011-08-01,-0.08096268003276863,hong_kong
2011-09-01,-0.13619048696292724,hong_kong
2011-10-01,0.10033074017692334,hong_kong
2011-11-01,-0.09318645427773542,hong_kong
2011-12-01,0.026519412874593584,hong_kong
2012-01-01,0.10333720937758217,hong_kong
2012-02-01,0.06585334961010281,hong_kong
2012-03-01,-0.048054889590162575,hong_kong
2012-04-01,0.021634662223780188,hong_kong
2012-05-01,-0.10682355551568734,hong_kong
2012-06-01,0.05163329441724973,hong_kong
2012-07-01,0.01703434776056989,hong_kong
2012-08-01,-0.012315635334683495,hong_kong
2012-09-01,0.07231933974236893,hong_kong
2012-10-01,0.013953241718503762,hong_kong
2012-11-01,0.020642182466988457,hong_kong
2012-12-01,0.0269664230311617,hong_kong
2013-01-01,0.04814030378831324,hong_kong
2013-02-01,-0.03131517887339175,hong_kong
2013-03-01,-0.02586211916491199,hong_kong
2013-04-01,0.017728031707437752,hong_kong
2013-05-01,-0.006564682913429043,hong_kong
2013-06-01,-0.05947094046142409,hong_kong
2013-07-01,0.04918019197415635,hong_kong
2013-08-01,-0.004464330392579763,hong_kong
2013-09-01,0.0582959549316342,hong_kong
2013-10-01,0.013805321635990575,hong_kong
2013-11-01,0.03211985336406431,hong_kong
2013-12-01,-0.026970677790390307,hong_kong
2014-01-01,-0.05330515912471967,hong_kong
2014-02-01,0.036035930312419584,hong_kong
2014-03-01,-0.02608664797084037,hong_kong
2014-04-01,-1.4907652554296824e-05,hong_kong
2014-05-01,0.05617929803829713,hong_kong
2014-06-01,0.010638565180551396,hong_kong
2014-07-01,0.07578911856942416,hong_kong
2014-08-01,0.0,hong_kong
2014-09-01,-0.06849291765172516,hong_kong
2014-10-01,0.045967068340258654,hong_kong
2014-11-01,0.0,hong_kong
2014-12-01,-0.012396723643451124,hong_kong
2015-01-01,0.03556472581210768,hong_kong
2015-02-01,0.01414131884485248,hong_kong
2015-03-01,0.007968296038311617,hong_kong
2015-04-01,0.12757622822827575,hong_kong
2015-05-01,-0.019400217312991463,hong_kong
2015-06-01,-0.03417253605100401,hong_kong
2015-07-01,-0.06145258293942235,hong_kong
2015-08-01,-0.11309508932369017,hong_kong
2015-09-01,-0.03355742980698373,hong_kong
2015-10-01,0.08669684945390066,hong_kong
2015-11-01,-0.02844652443894813,hong_kong
2015-12-01,-0.0045044892263412795,hong_kong
2016-01-01,-0.1022624478987566,hong_kong
2016-02-01,-0.027217798434545082,hong_kong
2016-03-01,0.09067362025113268,hong_kong
2016-04-01,0.01223133880225924,hong_kong
2016-05-01,-0.0023639405824944504,hong_kong
2016-06-01,0.011848152970413084,hong_kong
2016-07-01,0.051522139321769966,hong_kong
2016-08-01,0.05345213805698634,hong_kong
2016-09-01,0.014799103746773623,hong_kong
2016-10-01,-0.011700104859063143,hong_kong
2016-11-01,-0.004328871330022244,hong_kong
2016-12-01,-0.0391305836832363,hong_kong
2017-01-01,0.0656109627211161,hong_kong
2017-02-01,0.021231320555353594,hong_kong
2017-03-01,0.01663237079706259,hong_kong
2017-04-01,0.020474355276197898,hong_kong
2017-05-01,0.04838715559146656,hong_kong
2017-06-01,0.00961538748216717,hong_kong
2017-07-01,0.06285714173216794,hong_kong
2017-08-01,0.030466069986441413,hong_kong
2017-09-01,-0.012173933206896193,hong_kong
2017-10-01,0.029157881089343363,hong_kong
2017-11-01,0.03514944967510947,hong_kong
2017-12-01,0.020373482386722763,hong_kong
2018-01-01,0.1014975499780375,hong_kong
2018-02-01,-0.06042306770245831,hong_kong
2018-03-01,-0.022507992037925417,hong_kong
2018-04-01,0.026794839496459222,hong_kong
2018-05-01,-0.0032206966441534757,hong_kong
2018-06-01,-0.04846517148830243,hong_kong
2018-07-01,-0.005093555005245887,hong_kong
2018-08-01,-0.022184247155691117,hong_kong
2018-09-01,0.0,hong_kong
2018-10-01,-0.09781363640690222,hong_kong
2018-11-01,0.06586836664202633,hong_kong
2018-12-01,-0.024344720641290674,hong_kong
2019-01-01,0.08061430903822542,hong_kong
2019-02-01,0.0266429855441217,hong_kong
2019-03-01,0.017301178861208744,hong_kong
2019-04-01,0.020425150789523894,hong_kong
2019-05-01,-0.08375199335133332,hong_kong
2019-06-01,0.06398539686398474,hong_kong
2019-07-01,-0.020618499437371263,hong_kong
2019-08-01,-0.07017557819382791,hong_kong
2019-09-01,0.016981336825312,hong_kong
2019-10-01,0.03290107494963279,hong_kong
2019-11-01,-0.02033266432539893,hong_kong
2019-12-01,0.07735846219038267,hong_kong
2020-01-01,-0.07180382844267519,hong_kong
2020-02-01,-0.0018867874453616373,hong_kong
2020-03-01,-0.09829876990486719,hong_kong
2020-04-01,0.041561974553058656,hong_kong
2020-05-01,-0.06262612878895979,hong_kong
2020-06-01,0.07327590286071084,hong_kong
2020-07-01,0.014457812338481313,hong_kong
2020-08-01,0.022961142937245826,hong_kong
2020-09-01,-0.06037135205625899,hong_kong
2020-10-01,0.02500757088056549,hong_kong
2020-11-01,0.09570947029051391,hong_kong
2020-12-01,0.03313253966629248,hong_kong
2021-01-01,0.03717201637520029,hong_kong
2021-02-01,0.026704055392441806,hong_kong
2021-03-01,-0.019164863371275098,hong_kong
2021-04-01,0.009357097991470553,hong_kong
2021-05-01,0.020833289097039298,hong_kong
2021-06-01,-0.005442304218219118,hong_kong
2021-07-01,-0.09302312071119678,hong_kong
2021-08-01,-0.0037705603360111972,hong_kong
2021-09-01,-0.04542037559413925,hong_kong
2021-10-01,0.0332068061545967,hong_kong
2021-11-01,-0.07445136515508144,hong_kong
2021-12-01,-0.004233796312165583,hong_kong
2022-01-01,0.020408213307580247,hong_kong
2022-02-01,-0.04666665557575944,hong_kong
2022-03-01,-0.026223693512478663,hong_kong
2022-04-01,-0.04377801660947811,hong_kong
2022-05-01,0.018850134212472502,hong_kong
2022-06-01,0.030527119764012234,hong_kong
2022-07-01,-0.0718132705031177,hong_kong
2022-08-01,-0.008704043917329374,hong_kong
2022-09-01,-0.12731696954980898,hong_kong
2022-10-01,-0.14169448447821686,hong_kong
2022-11-01,0.261808266293601,hong_kong
2022-12-01,0.0652406635417615,hong_kong
2023-01-01,0.10441786844053813,hong_kong
2023-02-01,-0.09136381633819146,hong_kong
2023-03-01,0.029514841531882663,hong_kong
2023-04-01,-0.023309040303937656,hong_kong
2023-05-01,-0.07599994101566154,hong_kong
2023-06-01,0.041666676234391575,hong_kong
2023-07-01,0.06701299319676912,hong_kong
2023-08-01,-0.07838357398298068,hong_kong
2023-09-01,-0.025884873103114825,hong_kong
2023-10-01,-0.036861582793943026,hong_kong
2023-11-01,-0.0017421643372401707,hong_kong
2023-12-01,0.0,hong_kong
2024-01-01,-0.09133214365489772,hong_kong
2024-02-01,0.06466070874832552,hong_kong
2024-03-01,0.007215829586602274,hong_kong
2024-04-01,0.07407534318919962,hong_kong
2024-05-01,0.025784625299404063,hong_kong
2024-06-01,-0.009836042182716942,hong_kong
2024-07-01,-0.008830125957129842,hong_kong
2024-08-01,0.036191724957610694,hong_kong
2024-09-01,0.17248793894120507,hong_kong
2024-10-01,-0.03437839135582432,hong_kong
2024-11-01,-0.042033230092394014,hong_kong
2024-12-01,0.03265306617470043,hong_kong
2025-01-01,0.010869554579237883,hong_kong
2025-02-01,0.1319648664532138,hong_kong
2025-03-01,0.012953230271884886,hong_kong
2025-04-01,-0.041705152686661195,hong_kong
2025-05-01,0.05929917617466507,hong_kong
2025-06-01,0.03986425692034601,hong_kong
2025-07-01,0.030179397851884504,hong_kong
2025-08-01,0.014251793276629732,hong_kong
2025-09-01,0.07416091495738386,hong_kong
2025-10-01,-0.033346734698372016,hong_kong
2025-11-01,-0.0007674542196489664,hong_kong
2025-12-01,-0.008448554024444777,hong_kong
2026-01-01,0.06893883554352676,hong_kong
2026-02-01,-0.025362345829374244,hong_kong
2026-03-01,-0.06765800929343535,hong_kong
2026-04-01,0.04030344337488012,hong_kong
2026-05-01,-0.01930501958935449,hong_kong
2026-06-01,-0.006299206685632552,hong_kong
