date,cpi_index,monthly_inflation
2000-12-01,100.0,0.0016515813019202241
2001-01-01,100.23039138595753,0.0023039138595752906
2001-02-01,100.4613135738223,0.0023039138595752906
2001-03-01,100.69276778651616,0.0023039138595752906
2001-04-01,100.92475524977851,0.0023039138595752906
2001-05-01,101.15727719217273,0.0023039138595752906
2001-06-01,101.39033484509268,0.0023039138595752906
2001-07-01,101.62392944276927,0.0023039138595752906
2001-08-01,101.85806222227697,0.0023039138595752906
2001-09-01,102.09273442354036,0.0023039138595752906
2001-10-01,102.3279472893407,0.0023039138595752906
2001-11-01,102.5637020653225,0.0023039138595752906
2001-12-01,102.80000000000015,0.0023039138595752906
2002-01-01,102.66191778145797,-0.0013432122426282334
2002-02-01,102.52402103664222,-0.0013432122426282334
2002-03-01,102.38630951642233,-0.0013432122426282334
2002-04-01,102.24878297200235,-0.0013432122426282334
2002-05-01,102.11144115492051,-0.0013432122426282334
2002-06-01,101.97428381704881,-0.0013432122426282334
2002-07-01,101.8373107105925,-0.0013432122426282334
2002-08-01,101.7005215880897,-0.0013432122426282334
2002-09-01,101.5639162024109,-0.0013432122426282334
2002-10-01,101.42749430675855,-0.0013432122426282334
2002-11-01,101.2912556546666,-0.0013432122426282334
2002-12-01,101.15520000000006,-0.0013432122426282334
2003-01-01,100.89876665045769,-0.002535048613836688
2003-02-01,100.64298337192261,-0.002535048613836688
2003-03-01,100.38784851643322,-0.002535048613836688
2003-04-01,100.13336044020559,-0.002535048613836688
2003-05-01,99.87951750362284,-0.002535048613836688
2003-06-01,99.6263180712246,-0.002535048613836688
2003-07-01,99.37376051169649,-0.002535048613836688
2003-08-01,99.12184319785958,-0.002535048613836688
2003-09-01,98.8705645066599,-0.002535048613836688
2003-10-01,98.61992281915805,-0.002535048613836688
2003-11-01,98.36991652051866,-0.002535048613836688
2003-12-01,98.12054400000008,-0.002535048613836688
2004-01-01,97.90537317275427,-0.0021929233010143934
2004-02-01,97.69067419862922,-0.0021929233010143934
2004-03-01,97.47644604288725,-0.0021929233010143934
2004-04-01,97.26268767305973,-0.0021929233010143934
2004-05-01,97.04939805894219,-0.0021929233010143934
2004-06-01,96.83657617258932,-0.0021929233010143934
2004-07-01,96.62422098830999,-0.0021929233010143934
2004-08-01,96.41233148266235,-0.0021929233010143934
2004-09-01,96.2009066344489,-0.0021929233010143934
2004-10-01,95.98994542471151,-0.0021929233010143934
2004-11-01,95.77944683672656,-0.0021929233010143934
2004-12-01,95.56940985600004,-0.0021929233010143934
