date,monthly_return,fund,source
2009-09-01,0.0486363243082788,global,ACWI
2009-10-01,-0.026994028771915368,global,ACWI
2009-11-01,0.05397235240021292,global,ACWI
2009-12-01,0.018740094510115934,global,ACWI
2010-01-01,-0.0529677842960844,global,ACWI
2010-02-01,0.021723023718118295,global,ACWI
2010-03-01,0.06329404107150483,global,ACWI
2010-04-01,-0.002298038987717188,global,ACWI
2010-05-01,-0.09375743530282998,global,ACWI
2010-06-01,-0.03558179546596685,global,ACWI
2010-07-01,0.09335106643937086,global,ACWI
2010-08-01,-0.04281219691929017,global,ACWI
2010-09-01,0.09809443187003963,global,ACWI
2010-10-01,0.03749097289950276,global,ACWI
2010-11-01,-0.021860303103419576,global,ACWI
2010-12-01,0.07792183846592415,global,ACWI
2011-01-01,0.01068164813579342,global,ACWI
2011-02-01,0.03107157418603168,global,ACWI
2011-03-01,-0.008610307210457635,global,ACWI
2011-04-01,0.04818035800859799,global,ACWI
2011-05-01,-0.019530546306885666,global,ACWI
2011-06-01,-0.017610087551999665,global,ACWI
2011-07-01,-0.02279781570644035,global,ACWI
2011-08-01,-0.07359494554705914,global,ACWI
2011-09-01,-0.10439576158834796,global,ACWI
2011-10-01,0.11324113987566364,global,ACWI
2011-11-01,-0.011480970791009404,global,ACWI
2011-12-01,-0.009503318443522257,global,ACWI
2012-01-01,0.05477838910561306,global,ACWI
2012-02-01,0.04946069451828605,global,ACWI
2012-03-01,0.011139606506035404,global,ACWI
2012-04-01,-0.011440749353201052,global,ACWI
2012-05-01,-0.09279886552340477,global,ACWI
2012-06-01,0.05072271975521736,global,ACWI
2012-07-01,0.008206235677777451,global,ACWI
2012-08-01,0.027808986638290456,global,ACWI
2012-09-01,0.027056900505272763,global,ACWI
2012-10-01,-0.005140037616712334,global,ACWI
2012-11-01,0.015930744106567918,global,ACWI
2012-12-01,0.029041505605218898,global,ACWI
2013-01-01,0.03764541931161669,global,ACWI
2013-02-01,-0.0010020646080337592,global,ACWI
2013-03-01,0.01825811236505026,global,ACWI
2013-04-01,0.028374356081882324,global,ACWI
2013-05-01,-0.0038319953605105983,global,ACWI
2013-06-01,-0.026017129734769107,global,ACWI
2013-07-01,0.04579990563890579,global,ACWI
2013-08-01,-0.02294880244375752,global,ACWI
2013-09-01,0.05539239590522116,global,ACWI
2013-10-01,0.03950290365685394,global,ACWI
